G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc,Fallo_armonicos,Suma_fases,Residuo,Fallo_tierra,dVa,dVb,dVc,Pico_tension,I_avg,Desv_A,Desv_B,Desv_C,Factor_desbalance,Fallo_desbalance,S_a,S_b,S_c,S_total,P_total,Factor_potencia,Fallo_FP,Sobrecorriente_A,Sobrecorriente_B,Sobrecorriente_C,Fallo_sobrecorriente,Fallo_THD_Va,Sag_A,Sag_B,Sag_C,Swell_A,Swell_B,Swell_C,Fallo_sagswells,Fallo_THD,Total_fallos,Failure Type,Tiempo [s]
1,0,0,1,-151.2918124,-9.677451563,85.80016226,0.400749853,-0.132934945,-0.267814907,1,1,0,1,,,,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-60.63017157940357,1.286471491267569,-22.978562476246807,64.85126867009264,-82.32226256438281,-1.2694009578003405,1,1,0,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0
1,0,0,1,-336.1861826,-76.28326195,18.32889658,0.312731934,-0.123633156,-0.189098779,1,1,0,1,-0.088017919,0.009301789000000005,0.078716128,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-105.13615506857515,9.431140424853213,-3.4659719636952753,105.61520001387065,-99.17098660741722,-0.9389840344419449,1,1,0,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0001
1,0,0,1,-502.891583,-174.6480233,-80.92466346,0.265728444,-0.114300749,-0.151427695,1,1,0,1,-0.04700348999999998,0.009332407000000001,0.037671083999999994,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-133.63259785128687,19.962399874559452,12.254235256398525,135.66994840035406,-101.41596272032889,-0.747519726483984,1,1,1,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0002
1,0,0,1,-593.9419049,-217.7033594,-124.8919239,0.235510535,-0.104940254,-0.130570281,1,1,0,1,-0.030217909000000015,0.009360494999999996,0.02085741399999999,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-139.87957578191813,22.84584583208929,16.307173598253616,142.66797925069434,-100.72655635157524,-0.7060207685046118,1,1,1,1,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.00030000000000000003
1,0,0,1,-643.6636173,-224.1594274,-132.2828154,0.20953688,-0.095553751,-0.113983129,1,1,0,1,-0.025973654999999984,0.00938650299999999,0.016587152000000008,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-134.87126613855605,21.419274110082178,15.078009212221387,137.39137562097514,-98.3739828162525,-0.7160127946286755,1,1,1,1,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0004
1,0,0,1,-632.3127776,-181.714572,-90.79545335,0.193116164,-0.086143789,-0.106972375,1,1,0,1,-0.016420716000000002,0.009409962000000008,0.007010754000000008,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-122.10981805829714,15.653581748593307,9.712605284051206,123.4916069585059,-96.74363102565262,-0.7834024789891931,1,1,1,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0005
1,0,0,1,-557.3918085,-119.4686428,-29.52944976,0.210003736,-0.076712453,-0.133291283,1,1,0,1,0.01688757199999999,0.009431335999999998,-0.026318908000000016,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-117.05436220079656,9.164732645768789,3.9360182447944423,117.4785438892015,-103.95361131023333,-0.8848731680593177,1,1,1,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0006000000000000001
1,0,0,1,-458.799929,-96.31892202,-7.381846513,0.273651632,-0.067262311,-0.206389321,1,1,0,1,0.06364789599999998,0.009450141999999995,-0.07309803799999998,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-125.55134933233413,6.478633288093989,1.5235342895442876,125.72762292027483,-117.54918175469585,-0.9349511191286499,1,1,0,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0007
1,0,0,1,-385.6687288,-97.9898386,-10.07682386,0.334648677,-0.057795449,-0.276853228,1,1,0,1,0.06099704500000003,0.009466862000000006,-0.07046390700000002,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-129.0635298531918,5.663366719324531,2.78980121362842,129.2178449424647,-120.61036192023884,-0.9333878147707974,1,1,0,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0008
1,0,0,1,-359.9293378,-87.31947781,-0.452215736,0.347420278,-0.048314452,-0.299105825,1,1,0,1,0.012771601000000021,0.009480996999999998,-0.022252596999999985,0,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.3333333333333333,2.0000000000000004,1,-125.0467505988319,4.21879271931631,0.13526036079426218,125.11796970339722,-120.69269751872133,-0.9646312020953794,1,1,0,0,1,2,1,1,1,0,0,0,1,1,6,"Fallo_armonicos, Fallo_tierra, Fallo_desbalance, Fallo_FP, Fallo_sobrecorriente, Fallo_THD, Fallo_sagswells",0.0009000000000000001
